ranking,comment_time,usefule_num
5,2016/9/28,3
4,2016/9/11,1
5,2016/12/4,2
3,2017/7/30,0
4,2017/5/22,1
4,2016/12/2,3
3,2016/12/3,5
4,2016/9/25,1
5,2016/12/4,2
3,2016/12/23,1
1,2016/12/9,2
5,2017/8/1,0
5,2016/9/4,16
3,2016/12/2,4
5,2017/8/22,0
4,2016/12/4,0
4,2016/12/4,4
3,2016/12/4,2
4,2016/12/2,1
4,2017/3/27,0
4,2016/12/2,1
,2016/10/15,5
3,2016/11/28,5
5,2016/9/17,3
2,2016/12/9,2
5,2016/9/23,2
4,2016/12/19,0
5,2017/1/27,1
5,2016/12/14,2
5,2016/12/4,3
4,2016/10/16,1
3,2017/2/4,1
5,2016/10/3,2
4,2016/12/10,0
4,2016/12/18,0
5,2016/9/22,3
4,2016/12/5,3
4,2016/9/21,2
3,2017/3/8,0
5,2016/12/2,6
4,2016/12/8,1
5,2016/12/3,6
4,2016/9/13,3
5,2016/9/24,5
5,2016/12/3,3
5,2016/12/18,1
4,2016/12/26,2
4,2017/2/2,0
5,2016/12/4,1
4,2016/12/3,0
4,2016/12/6,1
5,2016/12/5,1
1,2016/11/17,6
3,2016/12/5,2
4,2017/1/16,2
3,2017/1/19,1
3,2016/11/29,5
3,2016/12/3,4
3,2016/10/23,2
4,2016/12/2,1
4,2016/9/24,2
3,2017/3/30,0
5,2016/12/3,3
4,2016/12/11,0
5,2016/12/4,6
5,2016/12/3,1
5,2016/9/16,1
4,2016/12/15,1
5,2017/1/2,2
4,2016/12/2,0
3,2016/9/22,4
3,2016/12/17,1
3,2016/12/4,2
4,2017/2/15,0
3,2016/10/24,3
3,2016/12/3,3
2,2016/12/9,3
5,2016/12/5,2
4,2016/12/2,5
3,2016/9/16,4
3,2016/12/11,3
4,2016/12/2,0
5,2016/10/8,2
5,2016/12/10,2
5,2016/10/13,4
4,2016/12/11,1
5,2016/12/3,3
4,2016/11/2,0
4,2016/12/3,1
4,2016/12/28,0
5,2016/12/3,3
5,2016/12/2,2
4,2016/12/3,2
3,2016/12/3,5
3,2016/12/6,4
5,2016/9/14,4
4,2016/9/24,2
4,2016/10/12,1
4,2016/12/4,3
4,2016/11/10,6
3,2016/10/24,1
,2016/12/3,1
4,2016/12/7,1
5,2016/12/10,3
3,2016/12/2,4
4,2016/12/3,0
3,2016/12/4,3
5,2016/12/27,3
5,2016/9/23,2
5,2016/12/12,2
5,2016/12/6,1
4,2016/9/18,1
3,2016/12/11,1
5,2016/12/3,2
5,2016/8/13,1
3,2016/9/30,4
3,2016/12/5,3
5,2017/8/7,0
1,2016/12/5,6
5,2016/12/3,8
4,2016/12/6,1
,2017/1/5,1
3,2016/11/6,2
4,2016/12/6,1
3,2016/12/5,6
5,2016/10/11,18
3,2016/12/4,8
,2016/12/10,1
5,2017/1/2,1
5,2017/3/29,0
2,2016/12/4,5
4,2016/12/10,1
4,2016/12/4,3
4,2016/12/3,1
5,2016/12/3,3
3,2016/12/4,0
3,2016/12/10,2
3,2016/12/5,2
3,2016/12/2,2
5,2016/12/3,1
4,2016/12/3,0
5,2016/9/25,0
5,2016/9/10,1
5,2016/12/4,2
3,2016/10/16,4
3,2016/12/3,1
4,2016/12/5,0
3,2016/12/7,3
5,2016/12/10,0
5,2016/12/5,0
4,2017/5/15,0
5,2016/12/7,1
5,2016/12/11,1
5,2016/12/3,1
4,2017/2/13,1
2,2016/12/5,4
